name,category,location,description,menu
Green Earth Vegan,Cafe,Bondi,"A vibrant plant-based cafe serving wholesome meals, cold-pressed juices, and smoothie bowls just steps from the beach.","Vegan Smoothie Bowl, Avocado Toast, Cold Brew Coffee"
The Blue Fin,Restaurant,Bondi,"Contemporary seafood grill offering fresh catch-of-the-day dishes with a panoramic ocean view.","Grilled Snapper, Oysters Rockefeller, Lobster Bisque"
Coastal Brew Co.,Bar,Bondi,"Trendy beachside bar known for its craft beers, laid-back vibe, and weekly live music sessions.","IPA Flight, Buffalo Wings, Loaded Nachos"
Bondi Bakes,Bakery,Bondi,"Neighborhood bakery crafting hand-kneaded sourdough, buttery croissants, and fresh morning buns daily.","Sourdough Loaf, Almond Croissant, Lemon Tart"
The Salty Bean,Cafe,Bondi,"Relaxed cafe serving specialty espresso, organic teas, and gourmet toasties in a surf-inspired space.","Flat White, Mushroom Toastie, Matcha Latte"
Palm & Pine Bar,Bar,Coogee,"Lively rooftop bar with tropical cocktails, palm-lined seating, and DJ sets every weekend.","Pineapple Mojito, Coconut Shrimp, Plantain Chips"
La Playa Bistro,Bistro,Coogee,"Mediterranean-style bistro offering coastal wines and small plates inspired by Southern Europe.","Grilled Octopus, Paella, White Wine Sangria"
Sunrise Roasters,Cafe,Coogee,"Minimalist cafe with a passion for specialty coffee and hearty breakfast staples made from local produce.","Espresso, Bagel with Lox, Chia Pudding"
Rolling Pin Bakery,Bakery,Coogee,"Family-owned artisan bakery making small-batch pastries and loaves using traditional techniques.","Rye Bread, Custard Danish, Savory Quiche"
Cove House Bistro,Bistro,Coogee,"Chic seaside bistro offering seasonal fare with a modern Australian twist.","Beetroot Risotto, Grilled Lamb Cutlets, Chocolate Fondant"
Wavehouse Cafe,Cafe,Tamarama,"Beachfront cafe popular for its nourishing bowls and ethically sourced brews.","Acai Bowl, Spelt Banana Bread, Cold Brew"
Little Sicily,Restaurant,Tamarama,"Cozy trattoria dishing up Italian comfort food and robust wines in a rustic setting.","Lasagna, Margherita Pizza, Tiramisu"
Neon Nights,Bar,Tamarama,"Energetic nightlife spot with neon decor, signature cocktails, and late-night bites.","Espresso Martini, Sliders, Truffle Fries"
Sweet Crumbs,Bakery,Tamarama,"Whimsical bakery offering decadent cupcakes, artisan tarts, and gluten-free treats.","Vanilla Bean Cupcake, Lemon Tart, Choc-Chip Muffin"
Saffron Garden,Restaurant,Bronte,"Elegant Indian restaurant blending traditional spices with modern presentation.","Butter Chicken, Garlic Naan, Mango Lassi"
